Street,zip_code
55 Water St. ,10041
"Park Avenue Plaza, 55 E. 52nd St. ",10055
666 Fifth Ave. ,10103
1290 Avenue of the Americas ,10104
"Alliance Bernstein Building, 1345 Avenue of the Americas ",10105
888 Seventh Ave. ,10106
250 W. 57th St. ,10107
500 Fifth Ave. ,10110
45 Rockefeller Center ,10111
30 Rockefeller Center ,10112
475 Riverside Dr. ,10115
"Empire State Building, 350 Fifth Ave. ",10118
1 Penn Plaza ,10119
112 W. 34th St. ,10120
2 Penn Plaza ,10121
225 W. 34th St. ,10122
745 Fifth Ave. ,10151
"Seagram Building, 375 Park Ave. ",10152
"General Motors Building, 767 Fifth Ave. ",10153
345 Park Ave. ,10154
964 Third Ave. ,10155
605 Third Ave. ,10158
500 E. 77th St. ,10162
"One Grand Central Place, 60 E. 42nd St. ",10165
"Metlife Building, 200 Park Ave. ",10166
245 Park Ave. ,10167
"Chanin Building, 122 E. 42nd St. ",10168
Helmsley Building 230 Park Ave. ,10169
420 Lexington Ave. ,10170
299 Park Ave. ,10171
277 Park Ave. ,10172
355 Madison Ave. ,10173
"Chrysler Building, 405 Lexington Ave. ",10174
521 Fifth Ave. ,10175
"Fred F. French Building, 551 Fifth Ave. ",10176
250 Park Ave. ,10177
101 Park Ave. ,10178
"Equitable Life Building, 120 Broadway ",10271
26 Federal Plaza ,10278
"Woolworth Building, 233 Broadway ",10279
